latitude,longitude
36.0348333,-117.607
61.9088,-150.6119
60.1564,-141.1495
60.1342,-141.4588
38.6603,-29.0813
-11.4545,163.258
38.8223343,-122.7961655
32.823,-115.5998333
37.5265007,-118.7156677
38.8390007,-122.8056641
37.3353,-117.0855
60.2411,-141.6671
61.0131,-148.3352
61.7391,-151.7123
62.9576,-150.7901
38.1795006,-122.2888336
33.4863333,-116.4741667
38.8129997,-122.8253326
63.249,-151.6366
33.2715,-116.778
37.7747,-116.0108
64.8225,-149.2362
61.5887,-147.6244
46.9158333,-121.9483333
36.6083,-116.2735
37.9840012,-122.0719986
36.552166,-121.0970001
38.8364983,-122.8103333
60.4538,-140.8823
33.3273333,-116.7971667
18.68,-67.3516
63.3822,-149.4835
38.7966652,-122.7853317
34.3166667,-116.7515
37.0313339,-121.4916687
63.2269,-150.4712
17.9631,-68.1648
62.915,-150.2505
38.7751656,-122.7256699
64.8348,-148.8835
19.2906666,-154.980835
36.186,-117.8885
38.840332,-122.8113327
38.836834,-122.8095016
44.4166,140.4856
18.096,-67.0923
59.426,-153.3433
60.8722,-147.5897
33.4105,-116.8515
33.5253333,-117.7338333
54.4362,-161.9979
54.2331,-116.6275
61.1519,-146.5823
-0.2713,124.4433
61.3478,-150.408
64.9808,-147.3343
33.4778333,-116.4368333
45.2943,141.9995
19.4820004,-155.5968323
38.774334,-122.7498322
33.9361667,-117.0356667
36.666832,-121.3001633
37.3827,-116.0386
35.8328333,-117.7681667
33.6833333,-116.711
53.7433,-162.6389
36.2737,-97.3898
60.8276,-150.4519
33.4893333,-116.4351667
62.0533,-145.2102
60.2992,-140.9998
60.2228,-141.4264
38.8376656,-122.8410034
19.3001671,-155.3860016
60.0161,-147.39
60.0574,-147.4285
18.0025,-67.1524
33.9413333,-117.224
65.1681,-149.0312
62.5096,-149.38
36.507,-121.0913315
34.2313333,-117.4446667
53.2009,-166.7743
36.5079994,-121.0908356
36.8165016,-121.5371704
36.6134,-116.2897
39.3999,-120.5555
38.7876663,-122.7494965
38.7828331,-122.7419968
38.7816658,-122.7799988
-35.0554,-107.1219
33.3411667,-116.6886667
60.9164,-149.5935
33.5833333,-116.6528333
34.1555,-116.9595
33.3626667,-116.2635
38.8373337,-122.8098297
61.6153,-146.3391
39.398,-120.5651
33.9791667,-116.944
34.201,-117.4628333
63.5822,-149.8556
34.3341667,-117.0868333
-5.7062,151.5522
61.0163,-152.2259
-5.6048,151.4751
38.8310013,-122.7546692
38.829834,-122.75383
61.3467,-150.5045
63.0636,-151.652
36.3926659,-120.4361649
38.757,-122.7313309
38.4148,-119.3752
59.7851,-141.2734
38.4158,-119.375
59.1165,-152.2192
63.514,-149.1215
60.6252,-151.509
60.1664,-141.5454
60.1303,-140.7769
60.1219,-141.4443
37.4348335,-118.5691681
34.5508333,-118.8598333
34.057,-116.7318333
61.3676,-150.4025
38.716,-119.6007
38.7898331,-122.8028336
33.7111667,-116.726
38.828167,-122.8054962
55.873,-158.4358
33.5958333,-116.8138333
60.2034,-141.3373
37.4385,-117.1225
61.3398,-147.1054
37.176,-117.2457
33.5015,-116.4973333
37.4264984,-118.5671692
36.3366,-97.5181
60.1651,-151.6469
37.4442,-116.0754
63.2252,-150.4382
33.4138333,-116.3261667
37.5408325,-118.871666
37.197,-116.3838
37.0193,-117.5372
48.2373333,-121.963
34.1076667,-116.6496667
62.3397,-150.8863
38.7876663,-122.7666702
35.5309982,-120.8694992
37.1749,-117.2589
37.6888351,-119.4469986
38.8100014,-122.8261642
38.833168,-122.7908325
60.4461,-147.3755
33.6726667,-116.7468333
61.6092,-148.3079
33.4476667,-116.5528333
38.7931671,-122.7304993
61.3302,-148.8492
36.4921,-97.1538
38.8363342,-122.8278351
37.5273323,-121.890831
34.1941667,-117.4551667
37.4296,-116.9901
18.531,-66.9375
-3.2446,143.8436
38.8128319,-122.8199997
36.3034,-96.6804
63.0733,-149.37
33.2126667,-116.7425
60.1761,-141.4359
33.7023333,-116.7298333
38.8134995,-122.8156662
38.8276672,-122.8041687
38.8263321,-122.8050003
38.4345,-119.2686
19.3651,-67.2048
62.8008,-150.9332
37.4326,-116.0992
33.7848333,-115.7113333
38.3828,-118.5781
37.2468,-114.6417
33.7776667,-115.7076667
42.0432,-119.7906
38.1638336,-122.8953323
63.3899,-147.8836
36.1878333,-117.8836667
61.6214,-150.5415
13.7445,120.7248
48.2345,-116.3528
61.3595,-149.6712
36.6063347,-121.2125015
38.7936668,-122.8141632
-24.5966,-176.3493
65.0632,-147.6669
62.3266,-148.2344
37.4538,-116.0988
18.1993,-67.5009
38.7708321,-122.722168
34.4406,137.3947
65.3923,-148.1583
37.0281667,-121.1868333
-10.4129,123.8767
33.6505,-116.7106667
37.4499,-116.0802
62.3236,-142.5731
33.2523333,-116.2748333
59.7301,-151.4594
-8.5947,118.2976
27.6631,86.1257
38.8139992,-122.8143311
